Ministry,Nombre,id,Partido
,Vlado Mirosevic Verdugo,224998,PL
,Nino Baltolu Rasera,193768,UDI
,Luis Rocafull López,193248,PS
,Renzo Trisotti Martínez,168765,UDI
,Ramón Galleguillos Castillo,223775,RN
,Hugo Gutiérrez Gálvez,123754,PC
,Paulina Núñez Urrutia,223879,RN
,José Miguel Castro Bascuñán,224542,RN
,Marcela Hernando Pérez,N/A,PRSD
,Esteban Velásquez Núñez,N/A,FREVS
,Catalina Pérez Salinas,224231,RD
,Daniella Cicardini Milla,222263,PS
,Juan Santana Castillo,222014,PS
,Sofía Cid Versalovic,220268,RN
,Nicolás Noman Garrido,222779,UDI
,Jaime Mulet Martínez,207691,FREVS
,Sergio Gahona Salazar,N/A,UDI
,Juan Manuel Fuenzalida Cobo,N/A,UDI
,Francisco Eguiguren Correa,124440,RN
,Pedro Velásquez Seguel,224531,Ind-FREVS
,Daniel Núñez Arancibia,224464,PC
,Raúl Saldívar Auger,223728,PS
,Matías Walker Prieto,N/A,DC
,Andrés Longton Herrera,224025,RN
,Luis Pardo Sainz,126660,RN
,Camila Flores Oporto,211427,RN
,Pablo Kast Sommerhoff,127738,Ind-Evópoli
,Marcelo Schilling Rodríguez,176417,PS
,Carolina Marzán Pinto,224183,PPD
,Daniel Verdessi Belemmi,222107,DC
,Diego Ibáñez Cotroneo,224347,PH
,María José Hoffmann Opazo,224494,UDI
,Osvaldo Urrutia Soto,224180,UDI
,Andrés Celis Montt,224547,RN
,Rodrigo González Torres,224518,PPD
,Marcelo Díaz Díaz,221418,PS
,Víctor Torres Jeldes,224450,DC
,Camila Rojas Valderrama,172856,Ind-PI
,Jorge Brito Hasbún,224064,RD
,Joaquín Lavín León,171747,UDI
,Patricio Melero Abaroa,220900,UDI
,Mario Desbordes Jiménez,224306,RN
,Gabriel Silber Romo,224377,DC
,Pepe Auth Steward,224189,Ind-PRSD
,Carmen Hertz Cádiz,221064,PC
,Claudia Mix Jiménez,223921,Poder
,Pablo Vidal Rojas,218071,RD
,Karol Cariola Oliva,220502,PC
,Boris Barrera Moreno,223212,PC
,Érika Olivera de la Fuente,N/A,Ind-RN
,Jorge Durán Espinoza,221057,RN
